Year,Week,State,BA_NSA,HBA_NSA,WBA_NSA,CBA_NSA,YY_BA_NSA,YY_HBA_NSA,YY_WBA_NSA,YY_CBA_NSA
2006,1,AK,90,70,50,30,,,,
2006,2,AK,90,60,40,30,,,,
2006,3,AK,140,100,70,40,,,,
2006,4,AK,100,60,40,20,,,,
2006,5,AK,160,80,60,30,,,,
2006,6,AK,90,60,40,20,,,,
2006,7,AK,130,90,60,30,,,,
2006,8,AK,130,80,50,30,,,,
2006,9,AK,110,70,50,40,,,,
2006,10,AK,140,90,60,30,,,,
2006,11,AK,110,70,60,30,,,,
2006,12,AK,120,80,50,40,,,,
2006,13,AK,130,80,50,30,,,,
2006,14,AK,150,90,60,40,,,,
2006,15,AK,160,90,60,30,,,,
2006,16,AK,130,80,50,20,,,,
2006,17,AK,130,80,60,30,,,,
2006,18,AK,110,70,50,30,,,,
2006,19,AK,140,90,60,30,,,,
2006,20,AK,130,90,60,40,,,,
2006,21,AK,120,80,50,30,,,,
2006,22,AK,140,80,50,30,,,,
2006,23,AK,90,50,30,20,,,,
2006,24,AK,120,80,60,40,,,,
2006,25,AK,100,50,40,20,,,,
2006,26,AK,110,50,30,20,,,,
2006,27,AK,100,60,40,30,,,,
2006,28,AK,70,50,40,30,,,,
2006,29,AK,100,60,40,20,,,,
2006,30,AK,110,70,50,20,,,,
2006,31,AK,80,50,40,20,,,,
2006,32,AK,90,60,50,20,,,,
2006,33,AK,100,60,40,20,,,,
2006,34,AK,100,60,40,30,,,,
2006,35,AK,100,70,50,30,,,,
2006,36,AK,100,60,30,20,,,,
2006,37,AK,70,50,30,20,,,,
2006,38,AK,100,70,50,30,,,,
2006,39,AK,80,50,30,20,,,,
2006,40,AK,80,50,30,20,,,,
2006,41,AK,100,60,40,20,,,,
2006,42,AK,80,50,30,20,,,,
2006,43,AK,70,40,30,20,,,,
2006,44,AK,80,50,30,20,,,,
2006,45,AK,110,60,40,30,,,,
2006,46,AK,80,50,30,20,,,,
2006,47,AK,90,50,30,20,,,,
2006,48,AK,70,50,40,20,,,,
2006,49,AK,70,50,40,20,,,,
2006,50,AK,80,50,40,20,,,,
2006,51,AK,110,70,60,30,,,,
2006,52,AK,140,90,60,40,,,,
2007,1,AK,100,60,40,30,11.11,-14.29,-20.0,0.0
2007,2,AK,40,30,20,10,-55.56,-50.0,-50.0,-66.67
2007,3,AK,140,90,60,40,0.0,-10.0,-14.29,0.0
2007,4,AK,100,70,50,30,0.0,16.67,25.0,50.0
2007,5,AK,120,80,50,30,-25.0,0.0,-16.67,0.0
2007,6,AK,120,80,50,30,33.33,33.33,25.0,50.0
2007,7,AK,120,80,50,30,-7.69,-11.11,-16.67,0.0
2007,8,AK,140,80,50,30,7.69,0.0,0.0,0.0
2007,9,AK,80,60,40,20,-27.27,-14.29,-20.0,-50.0
2007,10,AK,100,60,40,20,-28.57,-33.33,-33.33,-33.33
2007,11,AK,140,80,50,20,27.27,14.29,-16.67,-33.33
2007,12,AK,110,80,50,30,-8.33,0.0,0.0,-25.0
2007,13,AK,140,80,60,30,7.69,0.0,20.0,0.0
2007,14,AK,120,70,50,30,-20.0,-22.22,-16.67,-25.0
2007,15,AK,100,50,40,20,-37.5,-44.44,-33.33,-33.33
2007,16,AK,110,70,50,20,-15.38,-12.5,0.0,0.0
2007,17,AK,110,80,50,20,-15.38,0.0,-16.67,-33.33
2007,18,AK,130,80,60,40,18.18,14.29,20.0,33.33
2007,19,AK,130,80,60,30,-7.14,-11.11,0.0,0.0
2007,20,AK,110,70,50,30,-15.38,-22.22,-16.67,-25.0
2007,21,AK,120,70,40,30,0.0,-12.5,-20.0,0.0
2007,22,AK,100,60,40,20,-28.57,-25.0,-20.0,-33.33
2007,23,AK,120,80,60,40,33.33,60.0,100.0,100.0
2007,24,AK,110,70,60,30,-8.33,-12.5,0.0,-25.0
2007,25,AK,90,60,40,30,-10.0,20.0,0.0,50.0
2007,26,AK,110,70,50,30,0.0,40.0,66.67,50.0
2007,27,AK,100,70,50,30,0.0,16.67,25.0,0.0
2007,28,AK,70,40,30,20,0.0,-20.0,-25.0,-33.33
2007,29,AK,100,60,40,20,0.0,0.0,0.0,0.0
2007,30,AK,100,60,40,30,-9.09,-14.29,-20.0,50.0
2007,31,AK,100,60,50,20,25.0,20.0,25.0,0.0
2007,32,AK,100,70,50,30,11.11,16.67,0.0,50.0
2007,33,AK,130,80,70,30,30.0,33.33,75.0,50.0
2007,34,AK,100,70,50,20,0.0,16.67,25.0,-33.33
2007,35,AK,80,50,30,20,-20.0,-28.57,-40.0,-33.33
2007,36,AK,110,70,50,20,10.0,16.67,66.67,0.0
2007,37,AK,60,50,30,20,-14.29,0.0,0.0,0.0
2007,38,AK,100,60,40,20,0.0,-14.29,-20.0,-33.33
2007,39,AK,100,60,40,20,25.0,20.0,33.33,0.0
2007,40,AK,100,60,40,20,25.0,20.0,33.33,0.0
2007,41,AK,110,60,40,20,10.0,0.0,0.0,0.0
2007,42,AK,90,40,30,20,12.5,-20.0,0.0,0.0
2007,43,AK,100,50,30,30,42.86,25.0,0.0,50.0
2007,44,AK,90,60,30,20,12.5,20.0,0.0,0.0
2007,45,AK,100,50,30,10,-9.09,-16.67,-25.0,-66.67
2007,46,AK,100,40,30,20,25.0,-20.0,0.0,0.0
2007,47,AK,80,40,30,20,-11.11,-20.0,0.0,0.0
2007,48,AK,60,30,20,10,-14.29,-40.0,-50.0,-50.0
2007,49,AK,100,60,40,20,42.86,20.0,0.0,0.0
2007,50,AK,100,60,40,20,25.0,20.0,0.0,0.0
2007,51,AK,110,60,30,20,0.0,-14.29,-50.0,-33.33
2007,52,AK,120,80,50,30,-14.29,-11.11,-16.67,-25.0
2008,1,AK,80,60,30,30,-20.0,0.0,-25.0,0.0
2008,2,AK,80,50,30,20,100.0,66.67,50.0,100.0
2008,3,AK,120,70,50,30,-14.29,-22.22,-16.67,-25.0
2008,4,AK,130,70,40,20,30.0,0.0,-20.0,-33.33
2008,5,AK,120,70,40,20,0.0,-12.5,-20.0,-33.33
2008,6,AK,130,70,40,30,8.33,-12.5,-20.0,0.0
2008,7,AK,110,70,30,20,-8.33,-12.5,-40.0,-33.33
2008,8,AK,110,60,40,20,-21.43,-25.0,-20.0,-33.33
2008,9,AK,90,50,30,20,12.5,-16.67,-25.0,0.0
2008,10,AK,130,70,50,20,30.0,16.67,25.0,0.0
2008,11,AK,130,90,60,20,-7.14,12.5,20.0,0.0
2008,12,AK,100,60,40,20,-9.09,-25.0,-20.0,-33.33
2008,13,AK,120,70,40,30,-14.29,-12.5,-33.33,0.0
2008,14,AK,110,60,40,20,-8.33,-14.29,-20.0,-33.33
2008,15,AK,120,70,40,30,20.0,40.0,0.0,50.0
2008,16,AK,120,70,40,20,9.09,0.0,-20.0,0.0
2008,17,AK,120,70,40,20,9.09,-12.5,-20.0,0.0
2008,18,AK,130,80,60,20,0.0,0.0,0.0,-50.0
2008,19,AK,120,80,50,20,-7.69,0.0,-16.67,-33.33
2008,20,AK,110,60,40,20,0.0,-14.29,-20.0,-33.33
2008,21,AK,110,70,40,20,-8.33,0.0,0.0,-33.33
2008,22,AK,100,60,40,30,0.0,0.0,0.0,50.0
2008,23,AK,80,40,30,10,-33.33,-50.0,-50.0,-75.0
2008,24,AK,110,60,40,20,0.0,-14.29,-33.33,-33.33
2008,25,AK,100,60,40,20,11.11,0.0,0.0,-33.33
2008,26,AK,110,60,40,20,0.0,-14.29,-20.0,-33.33
2008,27,AK,90,50,30,20,-10.0,-28.57,-40.0,-33.33
2008,28,AK,80,40,20,20,14.29,0.0,-33.33,0.0
2008,29,AK,100,60,30,20,0.0,0.0,-25.0,0.0
2008,30,AK,110,70,40,10,10.0,16.67,0.0,-66.67
2008,31,AK,110,60,30,20,10.0,0.0,-40.0,0.0
2008,32,AK,90,50,40,20,-10.0,-28.57,-20.0,-33.33
2008,33,AK,120,50,30,20,-7.69,-37.5,-57.14,-33.33
2008,34,AK,90,50,30,10,-10.0,-28.57,-40.0,-50.0
2008,35,AK,90,50,30,10,12.5,0.0,0.0,-50.0
2008,36,AK,80,40,20,10,-27.27,-42.86,-60.0,-50.0
2008,37,AK,70,40,30,10,16.67,-20.0,0.0,-50.0
2008,38,AK,70,40,30,10,-30.0,-33.33,-25.0,-50.0
2008,39,AK,90,50,30,30,-10.0,-16.67,-25.0,50.0
2008,40,AK,90,50,30,10,-10.0,-16.67,-25.0,-50.0
2008,41,AK,90,50,30,10,-18.18,-16.67,-25.0,-50.0
2008,42,AK,100,40,30,20,11.11,0.0,0.0,0.0
2008,43,AK,80,40,20,20,-20.0,-20.0,-33.33,-33.33
2008,44,AK,90,40,30,20,0.0,-33.33,0.0,0.0
2008,45,AK,90,50,40,20,-10.0,0.0,33.33,100.0
2008,46,AK,90,50,20,20,-10.0,25.0,-33.33,0.0
2008,47,AK,90,40,30,20,12.5,0.0,0.0,0.0
2008,48,AK,80,50,30,20,33.33,66.67,50.0,100.0
2008,49,AK,80,50,30,20,-20.0,-16.67,-25.0,0.0
2008,50,AK,70,50,30,20,-30.0,-16.67,-25.0,0.0
2008,51,AK,80,40,20,20,-27.27,-33.33,-33.33,0.0
2008,52,AK,90,40,30,20,-25.0,-50.0,-40.0,-33.33
2008,53,AK,40,30,20,10,,,,
2009,1,AK,90,50,30,20,12.5,-16.67,0.0,-33.33
2009,2,AK,100,60,40,20,25.0,20.0,33.33,0.0
2009,3,AK,110,60,40,10,-8.33,-14.29,-20.0,-66.67
2009,4,AK,100,60,40,20,-23.08,-14.29,0.0,0.0
2009,5,AK,110,60,40,20,-8.33,-14.29,0.0,0.0
2009,6,AK,110,60,50,20,-15.38,-14.29,25.0,-33.33
2009,7,AK,90,60,30,20,-18.18,-14.29,0.0,0.0
2009,8,AK,80,50,30,10,-27.27,-16.67,-25.0,-50.0
