Data,TableID,Year,HoldingPeriod,TransactionType,AssetType,AGI,Series,Value
SOIIndividual,Table2A,2007,ShortTerm,AllTransactions,AllAsset,AllReturns,NumberOfReturns,10849740.43
SOIIndividual,Table2A,2007,ShortTerm,GainTransaction,AllAsset,AllReturns,NumberOfReturns,8699514.65
SOIIndividual,Table2A,2007,ShortTerm,GainTransaction,AllAsset,AllReturns,NumberOfTransactions,84787974.02
SOIIndividual,Table2A,2007,ShortTerm,GainTransaction,AllAsset,AllReturns,Gain,136505225.07
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,AllReturns,NumberOfReturns,6005011.73
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,AllReturns,NumberOfTransactions,62148576.53
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,AllReturns,Loss,95417791.57
SOIIndividual,Table2A,2007,ShortTerm,AllTransactions,AllAsset,AdjustedGrossDeficit,NumberOfReturns,249846.84
SOIIndividual,Table2A,2007,ShortTerm,GainTransaction,AllAsset,AdjustedGrossDeficit,NumberOfReturns,179361.83
SOIIndividual,Table2A,2007,ShortTerm,GainTransaction,AllAsset,AdjustedGrossDeficit,NumberOfTransactions,2237522.82
SOIIndividual,Table2A,2007,ShortTerm,GainTransaction,AllAsset,AdjustedGrossDeficit,Gain,3593365.2609
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,AdjustedGrossDeficit,NumberOfReturns,162307.47
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,AdjustedGrossDeficit,NumberOfTransactions,2159283.52
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,AdjustedGrossDeficit,Loss,5281896.962
SOIIndividual,Table2A,2007,ShortTerm,AllTransactions,AllAsset,"Under 20,000",NumberOfReturns,1247416.66
SOIIndividual,Table2A,2007,ShortTerm,GainTransaction,AllAsset,"Under 20,000",NumberOfReturns,997047.02
SOIIndividual,Table2A,2007,ShortTerm,GainTransaction,AllAsset,"Under 20,000",NumberOfTransactions,5252363.53
SOIIndividual,Table2A,2007,ShortTerm,GainTransaction,AllAsset,"Under 20,000",Gain,3029992.6361
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,"Under 20,000",NumberOfReturns,578176.84
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,"Under 20,000",NumberOfTransactions,3471653.76
SOIIndividual,Table2A,2007,ShortTerm,LossTransaction,AllAsset,"Under 20,000",Loss,4917931.343
