Data,TableID,Year,HoldingPeriod,TransactionType,AssetType,Month,Series,Value
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,AllReturns,NumberOfTransactions,84787.97401999998
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,AllReturns,SalesPrice,2011938201.679
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,AllReturns,Basis,1908738917.493
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,AllReturns,Gain,136505225.0693
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,AllReturns,NumberOfTransactions,62148.57653
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,AllReturns,SalesPrice,1371585533.866
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,AllReturns,Basis,1455027554.305
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,AllReturns,Loss,95417791.575
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,January,NumberOfTransactions,5965.10367
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,January,SalesPrice,75105789.649
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,January,Basis,70345138.957
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,January,Gain,4922881.9851
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,January,NumberOfTransactions,2825.30698
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,January,SalesPrice,37588512.76
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,January,Basis,40562235.609
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,January,Loss,3157910.96
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,February,NumberOfTransactions,5298.61451
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,February,SalesPrice,63653496.999
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,February,Basis,59022327.812
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,February,Gain,4575813.6819
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,February,NumberOfTransactions,2243.61321
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,February,SalesPrice,32553605.105
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,February,Basis,35418585.506
SOIIndividual,Table3A,2007,ShortTerm,LossTransaction,AllAsset,February,Loss,2852644.64
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,March,NumberOfTransactions,4943.42525
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,March,SalesPrice,57714545.242
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,March,Basis,53907230.645
SOIIndividual,Table3A,2007,ShortTerm,GainTransaction,AllAsset,March,Gain,3902221.0853
