Data,TableID,Year,HoldingPeriod,TransactionType,AssetType,TimeHeld,Series,Value
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,AllReturns,NumberOfTransactions,84787.97402
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,AllReturns,SalesPrice,2011938202
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,AllReturns,Basis,1908738918
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,AllReturns,Gain,136505225.1
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,AllReturns,NumberOfTransactions,62148.57653
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,AllReturns,SalesPrice,1371585534
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,AllReturns,Basis,1455027554
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,AllReturns,Loss,95417791.57
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,Under 1 month,NumberOfTransactions,21523.99589
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,Under 1 month,SalesPrice,456424094.9
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,Under 1 month,Basis,439743058.4
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,Under 1 month,Gain,19033915.69
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,Under 1 month,NumberOfTransactions,13613.66224
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,Under 1 month,SalesPrice,260558965.4
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,Under 1 month,Basis,272927997.7
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,Under 1 month,Loss,14301736.62
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,1 month under 2 months,NumberOfTransactions,6516.21376
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,1 month under 2 months,SalesPrice,88841773.47
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,1 month under 2 months,Basis,83185802.9
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,1 month under 2 months,Gain,5988697.433
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,1 month under 2 months,NumberOfTransactions,5307.86121
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,1 month under 2 months,SalesPrice,47469518.98
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,1 month under 2 months,Basis,56123306.03
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,1 month under 2 months,Loss,8661696.19
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,2 months under 3 months,NumberOfTransactions,4940.7467
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,2 months under 3 months,SalesPrice,58739773.93
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,2 months under 3 months,Basis,51711249.41
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,2 months under 3 months,Gain,7171478.394
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,2 months under 3 months,NumberOfTransactions,3986.43428
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,2 months under 3 months,SalesPrice,32611899.36
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,2 months under 3 months,Basis,37825705.58
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,2 months under 3 months,Loss,5216769.519
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,3 months under 4 months,NumberOfTransactions,4751.30814
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,3 months under 4 months,SalesPrice,51130258.15
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,3 months under 4 months,Basis,47475232.55
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,3 months under 4 months,Gain,3756213.853
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,3 months under 4 months,NumberOfTransactions,3595.3811
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,3 months under 4 months,SalesPrice,24584650.29
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,3 months under 4 months,Basis,28395219.34
