Data,TableID,Year,TransactionType,AssetType,Series,Value
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,Total,Number,283135.0
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,Total,SalesPrice,5335639612.13167
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,Total,Basis,4809313963.44
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,Total,NetGainloss,914042040.327
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,Total,Number,170828.95054
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,Total,SalesPrice,2922300220.7
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,Total,Basis,2262478571.5299997
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,Total,Gain,1106865343.3799999
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,Total,Number,93402.71606
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,Total,SalesPrice,1711118471.2800002
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,Total,Basis,1879035764.9099998
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,Total,Loss,192823303.05
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,Total,Number,18903.0
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,Total,SalesPrice,702220920.1516701
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,Total,Basis,667799627.0
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,CorporateStock,Number,175534.55135
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,CorporateStock,SalesPrice,2577754681.73
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,CorporateStock,Basis,2348636262.48
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,CorporateStock,NetGainloss,227899475.2439
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,CorporateStock,Number,106900.60756
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,CorporateStock,SalesPrice,1556528927.73
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,CorporateStock,Basis,1236404570.26
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,CorporateStock,Gain,320121692.27900004
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,CorporateStock,Number,61890.6912
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,CorporateStock,SalesPrice,886109561.2
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,CorporateStock,Basis,976157954.22
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,CorporateStock,Loss,92222217.04
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,CorporateStock,Number,6743.25259
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,CorporateStock,SalesPrice,135116192.802
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,CorporateStock,Basis,136073738.0
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,USGovernmentObligations,Number,2466.64455
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,USGovernmentObligations,SalesPrice,140961917.16930002
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,USGovernmentObligations,Basis,140973069.6439
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,USGovernmentObligations,NetGainloss,211005.34861
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,USGovernmentObligations,Number,640.65435
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,USGovernmentObligations,SalesPrice,53651101.477000006
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,USGovernmentObligations,Basis,53100787.255
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,USGovernmentObligations,Gain,695864.21721
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,USGovernmentObligations,Number,574.96407
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,USGovernmentObligations,SalesPrice,18611300.6457
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,USGovernmentObligations,Basis,19112681.956100002
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,USGovernmentObligations,Loss,484858.8686
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,USGovernmentObligations,Number,1251.02613
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,USGovernmentObligations,SalesPrice,68699515.047
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,USGovernmentObligations,Basis,68759600.432
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,StateAndLocalGovernmentObligations,Number,2984.77355
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,StateAndLocalGovernmentObligations,SalesPrice,240489689.5583
